# directors.txt – CineVault sample data
# Format: id|fullName|nationality|birthYear|biography|photoUrl|creditType
dir-001|Christopher Nolan|British-American|1970|Acclaimed director known for non-linear narratives, practical effects, and mind-bending science fiction. His films have grossed over $5 billion worldwide.|https://image.tmdb.org/t/p/w500/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg|DIRECTOR
dir-002|Bong Joon-ho|South Korean|1969|Academy Award-winning director known for genre-blending films with incisive social commentary. Parasite was the first non-English film to win Best Picture.|https://image.tmdb.org/t/p/w500/wAom8DLBS8SPJZpIJWJ88Y70HB5.jpg|DIRECTOR
dir-003|Daniel Kwan|American|1988|One half of the Daniels directorial duo. Known for the maximalist, heartfelt, and genre-defying Everything Everywhere All at Once.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-004|Frank Darabont|American|1959|Director of The Shawshank Redemption and The Green Mile. Known for his powerful, emotional adaptations of Stephen King's work.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-005|Quentin Tarantino|American|1963|Master of non-linear storytelling, sharp dialogue, and pop-culture references. Known for Pulp Fiction, Kill Bill, and Django Unchained.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-006|Hayao Miyazaki|Japanese|1941|Co-founder of Studio Ghibli and one of the greatest animation directors in history. His films are beloved worldwide for their imagination and humanity.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-007|Francis Ford Coppola|American|1939|Director of The Godfather trilogy and Apocalypse Now. Widely regarded as one of the greatest filmmakers in the history of cinema.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-008|Jordan Peele|American|1979|Writer-director who reinvented horror with social commentary. Get Out and Us are both critically acclaimed genre masterpieces.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-009|George Miller|Australian|1945|Creator of the Mad Max franchise. Mad Max: Fury Road is considered one of the greatest action films ever made.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-010|Spike Jonze|American|1969|Visionary director known for blending reality with fantasy. Her and Being John Malkovich are landmark films.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-011|Damien Chazelle|American|1985|The youngest director to win the Academy Award for Best Director. Known for Whiplash and La La Land.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-012|Rian Johnson|American|1973|Writer-director known for Brick, Looper, and the Knives Out mystery franchise starring Daniel Craig.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
dir-013|Wes Anderson|American|1969|Auteur filmmaker known for his distinctive symmetrical visual style and quirky, deadpan humor. The Grand Budapest Hotel won four Oscars.|https://image.tmdb.org/t/p/w500/placeholder.jpg|DIRECTOR
act-001|Leonardo DiCaprio|American|1974|Academy Award-winning actor known for The Revenant, Inception, and The Wolf of Wall Street. One of the most acclaimed actors of his generation.|https://image.tmdb.org/t/p/w500/placeholder.jpg|ACTOR
act-002|Cillian Murphy|Irish|1976|Versatile actor known for Peaky Blinders, Oppenheimer, and 28 Days Later. Academy Award winner for Best Actor.|https://image.tmdb.org/t/p/w500/placeholder.jpg|ACTOR
act-003|Joaquin Phoenix|American|1974|Academy Award-winning actor known for Joker, Her, and The Master. Considered one of the greatest actors of his generation.|https://image.tmdb.org/t/p/w500/placeholder.jpg|ACTOR
act-004|Meryl Streep|American|1949|Three-time Academy Award winner and the most nominated actor in Oscar history. Known for Sophie's Choice, Kramer vs. Kramer, and The Devil Wears Prada.|https://image.tmdb.org/t/p/w500/placeholder.jpg|ACTOR
act-005|Morgan Freeman|American|1937|Iconic actor known for The Shawshank Redemption, Se7en, and Million Dollar Baby. Academy Award winner for Best Supporting Actor.|https://image.tmdb.org/t/p/w500/placeholder.jpg|ACTOR
